word,freq
Industria 4.0,11
Industria Argentina,8
Producción Inteligente,9
Machine Learning,9
Inteligencia Artificial,8
Automatización,8
Sistemas Cyber Físicos,8
Digitalización,8
Big Data,8
Internet de las Cosas,8
Productos Inteligentes,7
Cloud (Nube),7
Redes Sociales,7
Sistemas Integrados,6
Fábricas Inteligentes,6
Conectividad,6
Competitividad,5
Internet,5
Medio Ambiente,5
eCommerce,5
Robots,5
Cobots,5
M2M,5
Aplicaciones,4
Nuevos Modelos,4
B2B,4
Innovación,3
Consumo Personalizado,3
Fintech,3
Virtual,3
Agilidad,3
Software,3
Vanguardia,3
Diseño,3
Moda,3
Personalización,2
Capacidades,2
Complejidad,2
Nanotecnología,2
Biotecnología,2
Text Mining,2
Información,2
Diferenciación,2
Cambio Permanente,2
Modernización,2
Mejora Continua,2
Kaizen,2
Energías Renovables,2
Horizontes,2
Posible,2
Deseable,2
Emociones,2
Análisis,2
Datos,2
Futuro,2
Velocidad,2
Inspiración,2
Sofisticación,2
Visualización,2
Consumidor,2
Productor,2
Sustentable,2
Sostenible,2
Eficiente,2
Eficaz,2
